S,T,R,ST
Anse,Cash,family relationship,neutral
Anse,Eustace Grimm,acquaintance,neutral
Anse,horse,ownership,neutral
Jewel,horse,ownership,neutral
Anse,teeth,ownership,neutral
Jewel,Vardaman,brother-brother relationship,positive
Eustace Grimm,Uncle Flem,family relationship,neutral
Eustace Grimm,Anse,acquaintance,neutral
Eustace Grimm,horse,ownership,neutral
Vardaman,Darl,brother-brother relationship,positive
I,He,watch,positive
I,four,say,neutral
I,Cash,say,neutral
I,pa,says,positive
pa,Cash,have,positive
Cash,box,sick on,negative
Darl,Cash,ask,neutral
Darl,ropes,loosens,neutral
Darl,Jefferson,get to,positive
Darl,Dewey Dell,does not look around,neutral
Dewey Dell,Cash,wipes,positive
Dewey Dell,sell,try,neutral
I,Albert,told,positive
Albert,wagon,stopped,positive
ladies,street,scattering,positive
crowd,hard-nosed men,standing,positive
wagon,man,sitting,positive
Albert,tale,told,negative
they,mules,got drowned,negative
folks,town,scared,negative
he,leg,broken,negative
marshal,lying,arguing,negative
folks,they,bother,negative
he,fellow,killing,negative
man,hit,stop,positive
there,girl,came up,positive
cilment,pa,said,positive
they,wagon,got in,positive
I,supper,went to,positive
I,smell,could,positive
I,marshal,met,positive
I,sniff,began to,positive
he,Jefferson,in,positive
he,jail,in,negative
he,jail,not our,positive
DARL,place,HERE'S a,positive
pa,team,pulls,positive
pa,house,sits looking at,neutral
pa,Dewey Dell,borrow a bucket,neutral
pa,trouble,had more,negative
lives,gestures,ravel out into,neutral
Cash,leg,broke,negative
Cash,sawdust,running out,negative
he,God,wouldn't be beholden,neutral
Dewey Dell,man,comes with,neutral
he,watching us,stands on,neutral
pa,Cash,lifted down,positive
pa,Jefferson,get to,neutral
pa,it,stop,negative
we,cement,done bought,neutral
I,water,make some,positive
Dewey Dell,package,carrying,neutral
I,trouble,expected,negative
Vardaman,sand,pours,neutral
we,splints,loosen,neutral
we,cement,pour,neutral
I,Dewey Dell,say,positive
Dewey Dell,piece of paper,tears,positive
Dewey Dell,cement,wipes,positive
cement,top of paper,drips,positive
I,Cash,asks forgiveness,positive
Cash,I,says,positive
we,splints,replace,positive
cords,we,drawing tight,positive
we,cement,surges,positive
CASH,I,steady it,positive
I,CASH,says,positive
CASH,I,obliged,positive
wagon,Cash,gets into,positive
pa,I,says,positive
I,VARDAMAN,say,positive
Jewel,I,say,negative
breeze,moonlight,setting up from,positive
we,her,put under,positive
Vardaman,I,took,positive
cat,we,leaped down,positive
Jewel,I,call,negative
I,Jewel,call,negative
supper,Cash,began to sweat,negative
we,Cash,say,positive
we,water,pour,positive
we,leg,fix,positive
we,foot,fix,positive
we,cement,look like,positive
we,Cash,talk to,positive
we,Dewey Dell,say,positive
Dewey Dell,face,wipe,positive
we,sleep,say,positive
Jewel,father,ask,positive
VARDAMAN,apple tree,be under,positive
Darl,moon,go across,positive
cat,moon,jump,positive
Darl,cat,hear,positive
Darl,I,say,positive
I,ear,put close,positive
I,her,hear,positive
her,inside the wood,run,positive
I,her,tell,negative
leg,we,fix,positive
we,leg,pour water on,positive
we,Cash,talk to,positive
I,Dewey Dell,saw,positive
I,me,told,negative
Dewey Dell,I,told,negative
Dewey Dell,pa,about,neutral
Dewey Dell,Cash,about,neutral
Dewey Dell,Jewel,about,neutral
Dewey Dell,me,about,neutral
I,Dewey Dell,going to sleep,neutral
Dewey Dell,moon,shines on,positive
Dewey Dell,pallet,on,neutral
I,barn,see,positive
I,barn,in,neutral
I,house,in,neutral
legs,moonlight,on,neutral
I,they,are in,neutral
Dewey Dell,I,said,neutral
I,barn,while,neutral
I,barn,are in,neutral
I,barn,to-night,neutral
Dewey Dell,I,waited,neutral
I,Dewey Dell,saw,positive
Darl,dark doorway,against,neutral
Darl,barn,toward,neutral
Darl,expression,on,neutral
glare,eyes,swims,neutral
Darl,slope,down,neutral
Darl,barn,at,positive
me,Gillespie,from,neutral
me,house,from,neutral
roof,overhead,across,neutral
Jewel,coffin,at,neutral
Jewel,stall,toward,neutral
sound,flames,of,neutral
stall door,Jewel,shut,negative
voice,Mack,far away,neutral
sound,swept,from,neutral
sound,up,swept,neutral
Jewel,mule,whirls,neutral
Mack,me,stares at,neutral
Mack,nightshirt,rips off,negative
Mack,mule,flings over,positive
Jewel,Mack,yelling at,negative
Jewel,Cow,yelling at,neutral
Mack,Jewel,shouts at,negative
Mack,Cow,cries,negative
cow,corner,is backed into,neutral
cow,look,watches,neutral
Jewel,fire,watches,neutral
we,opening,are stooping at,neutral
something,cow,charges into,negative
cow,gap,rushes through,neutral
Jewel,barn,turns back into,neutral
I,Jewel,say,neutral
I,hallway,looks like,neutral
we,Jewel,cry,neutral
I,Jewel,say,neutral
I,Jewel,say,neutral
Jewel,coffin,stoops to,neutral
Jewel,looks up,calls my name,neutral
Dewey Dell,voice,cries,neutral
Dewey Dell,back,put medicine on,positive
Jewel,medicine,put on,positive
Cash,lamp,held,neutral
leg,black,turned,negative
foot,leg,looks like,neutral
foot,bust off,have to,negative
flat iron,hammer,got,neutral
Dewey Dell,lamp,held,neutral
it,lamp,held,neutral
Cash,leg,looked,neutral
foot,leg,hit,negative
Cash,leg,went to,neutral
Cash,sleep,went to,neutral
back,Dewey Dell,said,neutral
back,lay down,go on,neutral
they,carried,back under,neutral
barn,was,is sunk down,neutral
barn,went,went swirling up,neutral
red,barn,went swirling up,neutral
Cash,turned,was,neutral
Cash’s foot,leg,looked,neutral
Dewey Dell,medicine,put on,positive
Jewel,medicine,put on,positive
back,lay down,go on,neutral
they,carried,back under,neutral
He,her,lying,positive
He,cat,keep away,positive
I,Darl,cry,negative
moonlight,Darl,dappled on,positive
moonlight,her,still,positive
barn,red,used to be,positive
barn,stars,making run backward,negative
barn,train,hurt,negative
I,Dewey Dell,tell nobody,neutral
I,Darl,passing,neutral
wagon,smoke,see,neutral
smoke,seemingly unmoving,hang,neutral
smoke,form and purpose,outward semblance,positive
I,Cash,lies on,neutral
mules,droop,rattling and clanking,negative
we,hill,mount,neutral
we,Cash,take to,neutral
Jewel's shirt,grease,stains with,negative
life,valleys,created in,positive
hills,ride down,walk up,positive
we,Dewey Dell,stop,negative
we,Dewey Dell,watch,positive
we,Dewey Dell,does not answer,neutral
Vardaman,flesh,lost,negative
Vardaman,face,has,neutral
smoke,passes,watch,neutral
pa,Jewel,ought to done,negative
pa,Jewel,done like,neutral
Jewel,grave,talking that way about,negative
Jewel,grave,pure loved,positive
Dewey Dell,package,carrying,positive
Dewey Dell,Sunday dress,wears,positive
Dewey Dell,beads,wears,positive
Dewey Dell,shoes,wears,positive
Dewey Dell,stockings,wears,positive
pa,Dewey Dell,told,positive
Dewey Dell,package,sits,positive
Dewey Dell,wagon,gets in,positive
I,Vardaman,says,positive
I,hill,descent,positive
I,wheels,whisper,positive
I,wagon,follow,positive
I,whisper,hear,positive
cabins,faces,come,positive
Jewel,looks,from side to side,positive
Jewel,head,turns forward,positive
ear,Jewel,takes on,positive
Jewel,walks,starts,positive
Jewel,whirls,does,positive
Jewel,man,whirls toward,positive
Jewel,Jewel,blind,positive
Cash,I,says,positive
I,Jewel,grasp at,positive
I,man,see,positive
man,Jewel,falls back,positive
jaw,man,tightens,positive
Jewel,leans above,has,positive
muscles,Jewel,gone white,positive
man,edge around,begins to,positive
I,release,and,positive
I,man,face,positive
I,man,looks at,positive
man,Jewel,watches,positive
man,knife,shuts,positive
I,man,says,positive
pa,I,say,positive
I,Jewel,hush,positive
Aimed,hell,said,positive
Armstid,wagon,letting,neutral
Armstid,him,said,neutral
him,hit,said,neutral
him,hit,gittin’,neutral
him,me,bothered,negative
him,Anse,bothered,neutral
Anse,devi,thrown,negative
Anse,him,handcuff,negative
Anse,him,murderer,negative
Anse,concrete,get,neutral
Anse,sawmill,carry,neutral
Anse,leg,stick,neutral
Anse,head,stick,neutral
Anse,sawmill,cured,positive
Anse,head,cured,negative
spades,he,borrowed,neutral
wife,hole,put,neutral
you,luck,say,neutral
luck,leg,broke,positive
leg,said,paw,neutral
prescription case,chocolate sauce,pouring,neutral
Jody,woman,says,neutral
woman,doctor,wants,neutral
kind,woman,is,neutral
Apron,went,took,neutral
woman,leg,had,neutral
woman,store,in,neutral
Jody,old man,come,neutral
he,me,fire,negative
he,one,get,neutral
man,post-office,go,neutral
eye,you,peeled,neutral
I,conference,going,neutral
she,I,says,neutral
I,she,says,neutral
I,money,got,positive
I,trouble,knows about,neutral
I,name,says,neutral
I,drug-store,told,positive
she,I,quit looking at,neutral
I,consulting,do,positive
I,penitentiary,be put in,negative
I,licence,lose,negative
I,clock,said,neutral
I,she,get out,positive
I,graduated glass,took,neutral
I,bottle,picked out,neutral
I,poison,keep,negative
I,turpentine,smelled like,neutral
I,treatment,beginning of,positive
I,operation,perform,positive
she,I,drunk,neutral
I,Jody,went up front,neutral
Jody,I,says,neutral
I,her,says,neutral
I,night,was,neutral
I,old bastard,helped,positive
I,hat,got,positive
I,store,went,neutral
I,corner,went,neutral
I,street lamps,passed,neutral
I,back,went,neutral
I,talcum powder,put,neutral
I,cellar,cleared up,neutral
her,stranger,mentioning,neutral
bastard,store,checked up,positive
bastard,hat,got,positive
bastard,store,got,negative
bastard,store,left,negative
bastard,light,turned out,negative
her,box of capsules,gave,neutral
her,capsules,looking at,neutral
bastard,cellar,went,neutral
VARDAMAN,stores,are,neutral
stores,lights,pass,neutral
lights,windows,are in,neutral
lights,trees,roost in,neutral
court-house,clock,looks,neutral
moon,is,not,neutral
train,Jackson,went to,neutral
VARDAMAN,Darl,he went to,neutral
VARDAMAN,Darl,is,neutral
we,cow,hear,neutral
Dewey Dell,work,ain't going to,negative
Darl,Jackson,went to,neutral
Dewey Dell,Vardaman,sibling,positive
Dewey Dell,Cash,sibling,positive
Dewey Dell,Jewel,sibling,positive
Dewey Dell,Darl,sibling,positive
Darl,Jackson,visited,neutral
Darl,France,visited,neutral
Darl,Jewel,laughing at,neutral
Darl,wagons,laughing at,neutral
Darl,Dewey Dell,laughing at,neutral
Cash,Jewel,sibling,positive
Cora Tull,Dewey Dell,owner of money,neutral
Cora Tull,Mrs. Tull,relationship,positive
Pa,Dewey Dell,parent-child,positive
Pa,God,belief,positive
Pa,Addie,father,positive
Pa,Jewel,relation,positive
Vardaman,Pa,borrow,positive
CASH,Vardaman,give,neutral
CASH,Vardaman,receive,neutral
Pa,Vardaman,deny,negative
Pa,Jewel,borrow,neutral
shovels,Pa,borrow,positive
Jewel,shovels,borrow,positive
Pa,Peabody,visit,neutral
Pa,barber-shop,visit,neutral
Jewel,Pa,got,positive
Jewel,team,got,positive
Jewel,pallet,fixed,positive
Jewel,wagon,drove,positive
team,me,come for,positive
team,corner,driven to,positive
Dewey Dell,Vardaman,and,positive
Dewey Dell,Vardaman,eating,positive
Dewey Dell,bananas,eating,positive
Dewey Dell,Vardaman,half open,positive
Vardaman,bananas,eating,positive
Mrs. Bundren,Pa,meet,positive
