S,T,R,ST
Darl,nothing,won't suit,negative
I,door,stood,neutral
he,dinner-bell,rung,neutral
I,him,called,neutral
gal,boy,get,neutral
half,dinner,heard,neutral
I,nothing,said,neutral
Snopes,fellow,trade,neutral
He,quitting,start,neutral
He,team,buy,neutral
I,mules,looked,neutral
sun,shed,shining,positive
He,pa,gets back,neutral
He,kind,looked,neutral
I,team,got,neutral
Jewel,horse,going toward,neutral
horse,Anse,done to,neutral
Anse,team,bought,neutral
Snopes,team,send,neutral
trade,fellow,beat,neutral
Fellow,Snopes,beat in,neutral
I,what,regret,neutral
He,look,got,neutral
I,team,give,neutral
Anse,team,worth,negative
Jewel,go,stopped,neutral
Anse,things,give,neutral
Anse,Clothes,doing,neutral
Anse,machine,buy,neutral
Anse,Cash,swap,neutral
Anse,horse,tried,negative
Jewel,Anse,looking,neutral
Anse,food,et,neutral
Jewel,Anse,blinking,neutral
Anse,horse,tried to swap,negative
Jewel,horse,taken,neutral
horse,I,take,neutral
Anse,sons,keep,negative
Cash,here,leave,neutral
Anse,bother,say,neutral
Anse,basket,got,neutral
Anse,supper,eat,neutral
Anse,basket,get,neutral
Anse,vicinity,make out,neutral
I,Anse,thinking about,neutral
I,fellow,help,positive
Eustace Grimm,span of mules,come up with,neutral
Eustace Grimm,team,bring,neutral
Jewel,Anse,clear out,negative
Jewel,horse,taken,neutral
Anse,man,conjure,neutral
Anse,man,kick himself,negative
Anse,man,help,positive
Darl,Jewel,siblings,neutral
Darl,Cash,siblings,neutral
Darl,Addie Bundren,mother,neutral
Darl,Anse,father,neutral
Darl,Dewey Dell,siblings,neutral
Jewel,horse,ownership,neutral
Jewel,Addie Bundren,mother,neutral
Jewel,shed,location,neutral
Jewel,barn,location,neutral
Jewel,wago,location,neutral
Jewel,supper time,time,neutral
Jewel,water,location,neutral
Jewel,cake,object,neutral
Cash,broken leg,condition,negative
Cash,brother,siblings,neutral
Addie Bundren,fish,identity,neutral
Pa,medicine,purchase,neutral
Pa,Mottson,location,neutral
Armstid,Mottson,location,neutral
Jewel,shed,location,neutral
Dewey Dell,face,wipe,neutral
Dewey Dell,Cash,relationship,neutral
Darl,mother,fish,neutral
Darl,water,location,neutral
Darl,Jefferson,location,neutral
Dewey Dell,cakes,object,neutral
Dewey Dell,Mottson,location,neutral
Darl,As I Lay Dying,mention,neutral
As I Lay Dying,William Faulkner,author,neutral
Darl,Jewel,mention,neutral
Darl,Cotton-house,destination,neutral
Pa,hill,destination,neutral
Darl,Dewey Dell,accompaniment,neutral
Moseley,Dewey Dell,mention,neutral
Moseley,Mottson,location,neutral
Moseley,Albert,mention,neutral
Moseley,store,destination,neutral
